Tension,Smoothing,RMSE,MAE
10,0.01,2.349826292975751,1.3581976858999958
10,0.1,2.8042447067978795,1.6438916864999966
10,0.5,3.438094334180979,2.051114459399988
10,1.0,3.8427087335118535,2.30477353189999
10,5.0,5.252964236657007,3.182569561900006
10,10.0,6.188279569071265,3.7761696822999977
20,0.01,1.4503482378127777,0.7709776720000007
20,0.1,1.6618949391786655,0.9073618774000002
20,0.5,2.076901373436265,1.1513893722000004
20,1.0,2.370825794327166,1.3309171255999948
20,5.0,3.6520546188889798,2.1456798930000054
20,10.0,4.63375513023707,2.773806323400009
40,0.01,1.4017605810172893,0.6996289665999986
40,0.1,1.4450029714757562,0.7162324013999983
40,0.5,1.7045804102515074,0.8680300496999934
40,1.0,1.9507915692731652,1.020765713699995
40,5.0,3.1765250721501754,1.815648388099999
40,10.0,4.164104887604285,2.4627267272000086
60,0.01,1.5747856619042317,0.7535203861
60,0.1,1.6285149066193707,0.7811650378000022
60,0.5,1.827194390674908,0.9029110397999968
60,1.0,2.032340931520089,1.037331258299999
60,5.0,3.1733041432800144,1.8000086323999978
60,10.0,4.139859567204252,2.440610951300008
80,0.01,1.7643679678215392,0.8424026429999986
80,0.1,1.8100219254397272,0.8687986012000017
80,0.5,1.9776600375783202,0.9765414829000014
80,1.0,2.158844429117846,1.1001283002000042
80,5.0,3.2331444036752193,1.8308105613000059
80,10.0,4.176420588640407,2.4607827747999975
100,0.01,1.919438809666981,0.9260297900999925
100,0.1,1.95771690618746,0.9498703680999996
100,0.5,2.1066388844345485,1.0491509022000045
100,1.0,2.273041726161373,1.1649638772000002
100,5.0,3.299018824706949,1.8692259822999964
100,10.0,4.222207536905736,2.488680978700003